Id,Company Name,IPO Status,Valuation_$B,Valuation_$B_num,Funding $M,Founded,Date_joined,Country,Headquarter,Category,Description,Website,Source,Years_to_be_Unicorn,Founders,Investors,Estimated_revenue,Female_founders,Funding_rounds,Last_funding_type
1,17zuoye,Private,1,1,585,1/1/2011,3/7/2018,China,"Shanghai, Shanghai, China",Edtech,"17zuoye is an online learning platform for K-12 students, as well as teachers, and parents.",http://www.17zuoye.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Dun Xiao, Liu Chang","DST Global, Temasek Holdings",$1M to $10M,No,9,Series E
2,4Paradigm,Private,2,2,375.26,1/1/2014,12/19/2018,China,"Beijing, Beijing, China",Artificial intelligence,"4Paradigm is an AI technology that helps enterprises to improve work efficiency, reduce risks and achieve greater commercial values.",https://www.4paradigm.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Feng Tian, Qiang Yang, Shiwei Hu, Wenyuan Dai, Yuqiang Chen","Sequoia Capital China, China Construction Bank, Bank of China",-,Yes,7,Series C
3,58 Daojia,Private,1,1,300,9/1/2014,2/18/2016,China,"Beijing, Beijing, China",Internet software & services,"58 Daojia provides online information and access to high-quality offline services such as cleaning, moving, babysitting, and beauty care.",https://bj.daojia.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,Jinbo Yao,"KKR, Alibaba Group, Ping An Insurance",$50M to $100M,No,1,Series A
4,ABOUT YOU,Private,1,1,300,1/1/2014,7/19/2018,Germany,"Hamburg, Hamburg, Germany",E-commerce & direct-to-consumer,"ABOUT YOU is an eCommerce platform for clothing, shoes and accessories.",https://corporate.aboutyou.de,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Sebastian Betz, Tarek Muller","German Media Pool, Seven Venture Capital",$500M to $1B,No,2,Corporate Round
5,ACV Auctions/ ACV,Private,1.5,1.5,296.6,1/1/2014,11/12/2019,United States,"Buffalo, New York, United States",E-commerce & direct-to-consumer,ACV is a full-service dealer marketplace that runs online automotive auctions.,https://www.acvauctions.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Daniel Magnuszewski, Jack Greco, Joseph Neiman","Bessemer Venture Partners, Tribeca Venture Partners, Bain Capital Ventures",$100M to $500M,No,8,Series E
6,Affirm,Private,2.9,2.9,1020,1/1/2012,12/11/2017,United States,"San Francisco, California, United States",Fintech,Affirm is a financial technology services company that offers installment loans to consumers at the point of sale.,https://affirm.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Jeffrey Kaditz, Max Levchin, Nathan Gettings","Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund",$50M to $100M,No,8,Series F
7,Aihuishou,Private,2.5,2.5,777.62,1/1/2011,7/12/2018,China,"Yangpu, Hainan, China",E-commerce & direct-to-consumer,Aihuishou is a bidding-based C2B platform for recycling and selling second-hand electronic items such as mobile phones.,http://aihuishou.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,Wenjun Sun,"Morningside Ventures, JD.com, Tiantu Capital",$10M to $50M,No,7,Corporate Round
8,Aijia Life/ Aijia Home Furnishing Products,Private,1,1,145.73,1/1/2015,9/17/2018,China,"Nanjing, Jiangsu, China",Other,Aijia Home Furnishing Products is an online home furnishing platform,https://www.ihomefnt.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Chen Jun,"Tiantu Capital, Fortune Capital, Zhenghedao Fund",-,No,2,Series B
9,Airtable,Private,1.1,1.1,170.6,9/1/2012,11/15/2018,United States,"San Francisco, California, United States",Internet software & services,Airtable is a cloud-based software company that blends a traditional spreadsheet with a database.,https://airtable.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Andrew Ofstad, Emmett Nicholas, Howie Liu","Caffeinated Capital, CRV, Founder Collective",$10M to $50M,No,5,Series C
10,Airwallex,Private,1.8,1.8,362,12/1/2015,3/25/2019,Australia,"Quarry Bay, Hong Kong Island, Hong Kong",Fintech,Airwallex is a financial services platform committed to building global financial infrastructure to scale the digital economy.,http://www.airwallex.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Jack Zhang, Jacob Dai, Lucy Yueting Liu, Max Li","DST Global, Sequoia Capital China, Tencent Holdings",$10M to $50M,Yes,8,Series D
11,AIWAYS,Private,1.59,1.59,791.73,2/1/2017,4/16/2018,China,"Shanghai, Shanghai, China",Auto & transportation,"AIWAYS is a manufacturer of smart electric car, based in Shanghai.",https://www.ai-ways.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,"Fu Qiang, Gu Feng","Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology",$100M to $500M,No,4,Series C
